RAIL_OPR_ISTT_CD,RAIL_OPR_ISTT_NM,LN_CD,LN_NM,STIN_CD,STIN_NM
KR,코레일,1,1호선,109,가능
KR,코레일,1,1호선,P142,가산디지털단지
KR,코레일,1,1호선,155,간석
KR,코레일,1,1호선,143,개봉
KR,코레일,1,1호선,P146,관악
KR,코레일,1,1호선,P144-1,광명
KR,코레일,1,1호선,119,광운대
KR,코레일,1,1호선,141,구로
KR,코레일,1,1호선,142,구일
KR,코레일,1,1호선,P150,군포
KR,코레일,1,1호선,P149,금정
KR,코레일,1,1호선,P144,금천구청
KR,코레일,1,1호선,134,남영
KR,코레일,1,1호선,136,노량진
KR,코레일,1,1호선,108,녹양
KR,코레일,1,1호선,117,녹천
KR,코레일,1,1호선,P151,당정
KR,코레일,1,1호선,137,대방
KR,코레일,1,1호선,106,덕계
KR,코레일,1,1호선,105,덕정
KR,코레일,1,1호선,114,도봉
KR,코레일,1,1호선,113,도봉산
KR,코레일,1,1호선,159,도원
KR,코레일,1,1호선,157,도화
KR,코레일,1,1호선,P143,독산
S1,서울교통공사(구서울메트로),1,1호선,128,동대문
KR,코레일,1,1호선,101,동두천
KR,코레일,1,1호선,103,동두천중앙
S1,서울교통공사(구서울메트로),1,1호선,127,동묘앞
KR,코레일,1,1호선,154,동암
KR,코레일,1,1호선,160,동인천
KR,코레일,1,1호선,P168,두정
KR,코레일,1,1호선,112,망월사
KR,코레일,1,1호선,P148,명학
KR,코레일,1,1호선,115,방학
KR,코레일,1,1호선,P174,배방
KR,코레일,1,1호선,153,백운
KR,코레일,1,1호선,P157,병점
KR,코레일,1,1호선,102,보산
KR,코레일,1,1호선,P170,봉명
KR,코레일,1,1호선,151,부개
KR,코레일,1,1호선,148,부천
KR,코레일,1,1호선,152,부평
KR,코레일,1,1호선,P157-1,서동탄
S1,서울교통공사(구서울메트로),1,1호선,133,서울역
KR,코레일,1,1호선,P163,서정리
KR,코레일,1,1호선,120,석계
KR,코레일,1,1호선,P145,석수
KR,코레일,1,1호선,P153,성균관대
KR,코레일,1,1호선,P166,성환
KR,코레일,1,1호선,P156,세류
KR,코레일,1,1호선,P158,세마
KR,코레일,1,1호선,147,소사
KR,코레일,1,1호선,100,소요산
KR,코레일,1,1호선,150,송내
KR,코레일,1,1호선,P162,송탄
KR,코레일,1,1호선,P155,수원
S1,서울교통공사(구서울메트로),1,1호선,132,시청
KR,코레일,1,1호선,138,신길
KR,코레일,1,1호선,140,신도림
S1,서울교통공사(구서울메트로),1,1호선,126,신설동
KR,코레일,1,1호선,121,신이문
KR,코레일,1,1호선,P177,신창(순천향대)
KR,코레일,1,1호선,P171,쌍용(나사렛대)
KR,코레일,1,1호선,P172,아산
KR,코레일,1,1호선,P147,안양
KR,코레일,1,1호선,107,양주
KR,코레일,1,1호선,146,역곡
KR,코레일,1,1호선,139,영등포
KR,코레일,1,1호선,144,오류동
KR,코레일,1,1호선,P160,오산
KR,코레일,1,1호선,P159,오산대
KR,코레일,1,1호선,145,온수
KR,코레일,1,1호선,P176,온양온천
KR,코레일,1,1호선,122,외대앞
KR,코레일,1,1호선,135,용산
KR,코레일,1,1호선,118,월계
KR,코레일,1,1호선,P152,의왕
KR,코레일,1,1호선,110,의정부
KR,코레일,1,1호선,161,인천
S1,서울교통공사(구서울메트로),1,1호선,125,제기동
KR,코레일,1,1호선,158,제물포
S1,서울교통공사(구서울메트로),1,1호선,131,종각
S1,서울교통공사(구서울메트로),1,1호선,130,종로3가
S1,서울교통공사(구서울메트로),1,1호선,129,종로5가
KR,코레일,1,1호선,156,주안
KR,코레일,1,1호선,149,중동
KR,코레일,1,1호선,P164,지제
KR,코레일,1,1호선,104,지행
KR,코레일,1,1호선,P167,직산
KR,코레일,1,1호선,P161,진위
KR,코레일,1,1호선,116,창동
KR,코레일,1,1호선,P169,천안
S1,서울교통공사(구서울메트로),1,1호선,124,청량리(서울시립대입구)
KR,코레일,1,1호선,P165,평택
KR,코레일,1,1호선,P154,화서
KR,코레일,1,1호선,123,회기
KR,코레일,1,1호선,111,회룡
S1,서울교통공사(구서울메트로),2,2호선,222,강남
S1,서울교통공사(구서울메트로),2,2호선,214,강변(동서울터미널)
S1,서울교통공사(구서울메트로),2,2호선,212,건대입구
S1,서울교통공사(구서울메트로),2,2호선,223,교대(법원·검찰청)
S1,서울교통공사(구서울메트로),2,2호선,232,구로디지털단지
S1,서울교통공사(구서울메트로),2,2호선,213,구의(광진구청)
S1,서울교통공사(구서울메트로),2,2호선,234-4,까치산
S1,서울교통공사(구서울메트로),2,2호선,227,낙성대
S1,서울교통공사(구서울메트로),2,2호선,237,당산
S1,서울교통공사(구서울메트로),2,2호선,233,대림(구로구청)
S1,서울교통공사(구서울메트로),2,2호선,234-1,도림천
S1,서울교통공사(구서울메트로),2,2호선,205,동대문역사문화공원
S1,서울교통공사(구서울메트로),2,2호선,210,뚝섬
S1,서울교통공사(구서울메트로),2,2호선,235,문래
S1,서울교통공사(구서울메트로),2,2호선,225,방배
S1,서울교통공사(구서울메트로),2,2호선,229,봉천
S1,서울교통공사(구서울메트로),2,2호선,226,사당
S1,서울교통공사(구서울메트로),2,2호선,219,삼성(무역센터)
S1,서울교통공사(구서울메트로),2,2호선,207,상왕십리
S1,서울교통공사(구서울메트로),2,2호선,228,서울대입구(관악구청)
S1,서울교통공사(구서울메트로),2,2호선,224,서초
S1,서울교통공사(구서울메트로),2,2호선,220,선릉
S1,서울교통공사(구서울메트로),2,2호선,211,성수
S1,서울교통공사(구서울메트로),2,2호선,201,시청
S1,서울교통공사(구서울메트로),2,2호선,211-2,신답
S1,서울교통공사(구서울메트로),2,2호선,206,신당
S1,서울교통공사(구서울메트로),2,2호선,231,신대방
S1,서울교통공사(구서울메트로),2,2호선,234,신도림
S1,서울교통공사(구서울메트로),2,2호선,230,신림
S1,서울교통공사(구서울메트로),2,2호선,211-4,신설동
S1,서울교통공사(구서울메트로),2,2호선,234-3,신정네거리
S1,서울교통공사(구서울메트로),2,2호선,240,신촌
S1,서울교통공사(구서울메트로),2,2호선,242,아현
S1,서울교통공사(구서울메트로),2,2호선,234-2,양천구청
S1,서울교통공사(구서울메트로),2,2호선,221,역삼
S1,서울교통공사(구서울메트로),2,2호선,236,영등포구청
S1,서울교통공사(구서울메트로),2,2호선,208,왕십리
S1,서울교통공사(구서울메트로),2,2호선,211-1,용답
S1,서울교통공사(구서울메트로),2,2호선,211-3,용두(동대문구청)
S1,서울교통공사(구서울메트로),2,2호선,203,을지로3가
S1,서울교통공사(구서울메트로),2,2호선,204,을지로4가
S1,서울교통공사(구서울메트로),2,2호선,202,을지로입구
S1,서울교통공사(구서울메트로),2,2호선,241,이대
S1,서울교통공사(구서울메트로),2,2호선,216,잠실(송파구청)
S1,서울교통공사(구서울메트로),2,2호선,215,잠실나루
S1,서울교통공사(구서울메트로),2,2호선,217,잠실새내
S1,서울교통공사(구서울메트로),2,2호선,218,종합운동장
S1,서울교통공사(구서울메트로),2,2호선,243,충정로(경기대입구)
S1,서울교통공사(구서울메트로),2,2호선,209,한양대
S1,서울교통공사(구서울메트로),2,2호선,238,합정
S1,서울교통공사(구서울메트로),2,2호선,239,홍대입구
S1,서울교통공사(구서울메트로),3,3호선,350,가락시장
S1,서울교통공사(구서울메트로),3,3호선,327,경복궁(정부서울청사)
S1,서울교통공사(구서울메트로),3,3호선,351,경찰병원
S1,서울교통공사(구서울메트로),3,3호선,339,고속터미널
S1,서울교통공사(구서울메트로),3,3호선,340,교대(법원·검찰청)
S1,서울교통공사(구서울메트로),3,3호선,320,구파발
S1,서울교통공사(구서울메트로),3,3호선,334,금호
S1,서울교통공사(구서울메트로),3,3호선,341,남부터미널(예술의전당)
S1,서울교통공사(구서울메트로),3,3호선,323,녹번
KR,코레일,3,3호선,314,대곡
S1,서울교통공사(구서울메트로),3,3호선,347,대청
S1,서울교통공사(구서울메트로),3,3호선,345,대치
KR,코레일,3,3호선,309,대화
S1,서울교통공사(구서울메트로),3,3호선,344,도곡
S1,서울교통공사(구서울메트로),3,3호선,326,독립문
S1,서울교통공사(구서울메트로),3,3호선,332,동대입구
KR,코레일,3,3호선,312,마두
S1,서울교통공사(구서울메트로),3,3호선,343,매봉
S1,서울교통공사(구서울메트로),3,3호선,325,무악재
KR,코레일,3,3호선,313,백석
S1,서울교통공사(구서울메트로),3,3호선,322,불광
KR,코레일,3,3호선,318,삼송
S1,서울교통공사(구서울메트로),3,3호선,349,수서
S1,서울교통공사(구서울메트로),3,3호선,337,신사
S1,서울교통공사(구서울메트로),3,3호선,328,안국
S1,서울교통공사(구서울메트로),3,3호선,336,압구정
S1,서울교통공사(구서울메트로),3,3호선,333,약수
